OperationId,Person,RegAddrKoatuu,OperationCode,OperationName,DateReg,DepCode,DepartmentName,Brand,Model,Vin,MakeYear,Color,Kind,Body,Purpose,Fuel,Capacity,OwnWeight,TotalWeight,NumberRegNew
143,P,6810100000,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),02/11/2022 00:00:00,12374,ТСЦ 6844,CHEVROLET,AVEO,Y6DSF69YE8B102582,01/01/2007 00:00:00,СИНІЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1498,1186,1510,ВХ8475НС
144,P,1210400000,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),11/05/2022 00:00:00,12243,ТСЦ 1244,MITSUBISHI,LANCER,JMBSTCY4A9U001351,01/01/2008 00:00:00,ЧЕРВОНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1998,1405,1850,АЕ1698ТХ
145,P,8038500000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,02/09/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,TOYOTA,VENZA,4T3BA3BB6CU029685,01/01/2012 00:00:00,КОРИЧНЕВИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,2672,1835,2340,АА1200ТР
146,P,7124989001,250,"ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ ЧИ ІНШОГО ДОКУМ.ПРАВОКОРИСТУВАННЯ ",11/24/2022 00:00:00,12377,ТСЦ 7141,БОГДАН,А-09202,Y7BA092027B001169,01/01/2007 00:00:00,ЗЕЛЕНИЙ,АВТОБУС,АВТОБУС,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,4570,5000,8230,СА0886АА
147,P,8036300000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,06/16/2022 00:00:00,12296,ТСЦ 8047,MITSUBISHI,L 200,MMBJRKB408D096199,01/01/2008 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,ПІКАП,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2477,1500,2370,КА8178НС
148,P,4623682001,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,11/28/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,CITROEN,C4,VF7NC9HR8CY578026,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1560,1205,1825,ВС7773НТ
149,P,7122888401,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,09/01/2022 00:00:00,12356,ТСЦ 6342,MERCEDES-BENZ,VITO 115 CDI,WDF63960313478889,01/01/2008 00:00:00,СИНІЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2148,1785,2770,АХ1815МК
150,P,2310700000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,09/02/2022 00:00:00,12307,ТСЦ  4641,NISSAN,JUKE,SJNFBAF15U6245418,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1598,1255,1680,ВС8968РЕ
151,P,2123681301,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,11/29/2022 00:00:00,12371,ТСЦ 6841,NISSAN,PATROL,JN10KM160V0844029,01/01/2000 00:00:00,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,3000,1540,2040,НХ0629АВ
152,P,8036100000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,07/19/2022 00:00:00,12293,ТСЦ 8044,MAN,TGA 26.440,WMAH21ZZ87W079173,01/01/2006 00:00:00,БІЛИЙ,ВАНТАЖНИЙ,КОНТЕЙНЕРОВОЗ,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,10518,8700,26000,КА7336НО
153,P,5610100000,400,ПЕРЕРЕЄСТРАЦIЯ ПРИ ПЕРЕОБЛАДНАННI ДЛЯ РОБОТИ НА ГАЗОВОМУ ПАЛЬНОМУ,11/15/2022 00:00:00,12337,ТСЦ 5641,TOYOTA,CAMRY,JTNBK40K403031855,01/01/2007 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,3456,1664,2050,ВК6777АВ
154,P,5122783201,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,02/23/2022 00:00:00,12326,ТСЦ 5147,NISSAN,TIIDA,3N1FCAC11UK407155,01/01/2007 00:00:00,ЗЕЛЕНИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1598,1300,1715,ВН5819РІ
155,P,4622788801,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,01/18/2022 00:00:00,12312,ТСЦ 4646,FIAT,SCUDO,ZFA27000064009454,01/01/2006 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1560,1736,2661,ВС5629ОЕ
156,P,521682803,410,ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ,02/15/2022 00:00:00,13659,ТСЦ 0546,TOYOTA,LAND CRUISER,JTMHV05J204075166,01/01/2012 00:00:00,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,4461,2640,3350,АВ9376ІК
